0               0
1              25
2               9
3               7
4              23
5              10
6              27
7               5
8              12
9              24
10               4
11              26
12              28
13              18
14              32
15              29
16               6
17               3
18              31
19              22
20              19
21              21
22               1
23              20
24              16
25              15
26               2
27              13
28               8
29              33
30              14
31              11
32              30
33              17
