#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147      1.0959     1.42759   0.0314655
         148     1.09657     1.42536   0.0313323
         149     1.09722     1.42315   0.0311993
         150     1.09783     1.42098   0.0310666
         151     1.09841     1.41885   0.0309342
         152     1.09896     1.41674   0.0308022
         153     1.09948     1.41467   0.0306706
         154     1.09997     1.41263   0.0305394
         155     1.10043     1.41061   0.0304087
         156     1.10087     1.40863   0.0302786
         157      1.1013     1.40667   0.0301489
         158     1.10172     1.40474   0.0300198
         159     1.10215     1.40284   0.0298913
         160     1.10258     1.40096   0.0297633
         161     1.10303     1.39911   0.0296359
         162     1.10351     1.39728   0.0295091
         163     1.10402     1.39548   0.0293828
         164     1.10457     1.39371   0.0292572
         165     1.10518     1.39196   0.0291321
         166     1.10583     1.39024   0.0290075
         167     1.10653     1.38854   0.0288835
         168     1.10728     1.38687   0.0287601
         169     1.10808     1.38522   0.0286372
         170     1.10892     1.38359   0.0285148
         171     1.10978     1.38199    0.028393
         172     1.11067     1.38041   0.0282717
         173     1.11156     1.37886   0.0281509
         174     1.11245     1.37733   0.0280308
         175      1.1133     1.37582   0.0279112
         176     1.11412     1.37433   0.0277922
         177     1.11487     1.37287   0.0276738
         178     1.11555     1.37142    0.027556
         179     1.11614     1.36999    0.027439
         180     1.11661     1.36859   0.0273226
         181     1.11697      1.3672    0.027207
         182     1.11719     1.36582   0.0270922
         183     1.11727     1.36446   0.0269781
         184     1.11721     1.36312    0.026865
         185     1.11699     1.36179   0.0267527
         186     1.11663     1.36047   0.0266413
         187     1.11612     1.35917   0.0265309
         188     1.11547     1.35787   0.0264214
         189     1.11468     1.35658   0.0263129
         190     1.11376      1.3553   0.0262054
         191     1.11273     1.35403    0.026099
         192     1.11159     1.35277   0.0259936
         193     1.11037     1.35152   0.0258892
         194     1.10907     1.35027   0.0257859
         195     1.10771     1.34902   0.0256837
         196     1.10631     1.34778   0.0255825
         197     1.10488     1.34655   0.0254823
         198     1.10343     1.34532   0.0253832
         199     1.10199      1.3441   0.0252851
         200     1.10057     1.34288   0.0251879
         201     1.09917     1.34167   0.0250918
         202     1.09782     1.34046   0.0249966
         203     1.09652     1.33926   0.0249023
         204     1.09529     1.33806    0.024809
         205     1.09413     1.33687   0.0247165
         206     1.09306     1.33569   0.0246248
         207     1.09208     1.33451   0.0245339
         208      1.0912     1.33334   0.0244439
         209     1.09043     1.33218   0.0243545
         210     1.08977     1.33103   0.0242659
         211     1.08923     1.32988   0.0241779
         212     1.08883     1.32874   0.0240906
         213     1.08855     1.32762   0.0240039
         214     1.08842      1.3265   0.0239177
         215     1.08843     1.32539   0.0238321
         216     1.08861      1.3243    0.023747
         217     1.08894     1.32321   0.0236623
         218     1.08945     1.32214    0.023578
         219     1.09014     1.32108   0.0234942
         220     1.09101     1.32003   0.0234106
         221     1.09208       1.319   0.0233274
         222     1.09335     1.31799   0.0232445
         223     1.09483     1.31699   0.0231618
         224     1.09652       1.316   0.0230793
         225     1.09841     1.31503   0.0229969
         226     1.10052     1.31408   0.0229148
         227     1.10285     1.31315   0.0228327
         228     1.10537     1.31224   0.0227507
         229     1.10809     1.31135   0.0226688
         230     1.11099     1.31048    0.022587
         231     1.11405     1.30963   0.0225052
         232     1.11727      1.3088   0.0224235
         233     1.12062     1.30799   0.0223418
         234     1.12408     1.30721   0.0222601
         235     1.12763     1.30644   0.0221785
         236     1.13123      1.3057    0.022097
         237     1.13487     1.30498   0.0220155
         238     1.13852     1.30428   0.0219341
         239     1.14214      1.3036   0.0218528
         240     1.14573     1.30294   0.0217717
         241     1.14924     1.30231   0.0216907
         242     1.15267     1.30169   0.0216098
         243     1.15598     1.30109   0.0215292
         244     1.15917     1.30051   0.0214489
         245     1.16222     1.29994   0.0213687
         246      1.1651     1.29939   0.0212889
         247     1.16782     1.29886   0.0212094
         248     1.17037     1.29834   0.0211302
         249     1.17274     1.29784   0.0210513
         250     1.17492     1.29735   0.0209729
         251     1.17691     1.29687   0.0208948
         252     1.17873      1.2964   0.0208171
         253     1.18036     1.29594   0.0207399
         254     1.18182     1.29549   0.0206631
         255     1.18311     1.29505   0.0205868
         256     1.18423     1.29462   0.0205109
         257      1.1852     1.29419   0.0204355
         258     1.18601     1.29377   0.0203606
         259     1.18669     1.29336   0.0202862
         260     1.18724     1.29295   0.0202123
         261     1.18767     1.29255   0.0201389
         262     1.18799     1.29215    0.020066
         263      1.1882     1.29175   0.0199936
         264     1.18832     1.29136   0.0199217
         265     1.18835     1.29097   0.0198503
         266      1.1883     1.29059   0.0197794
         267     1.18819      1.2902   0.0197091
         268       1.188     1.28982   0.0196392
         269     1.18776     1.28944   0.0195699
         270     1.18747     1.28906    0.019501
         271     1.18713     1.28869   0.0194327
         272     1.18675     1.28831   0.0193649
         273     1.18633     1.28794   0.0192975
         274     1.18588     1.28757   0.0192307
         275      1.1854      1.2872   0.0191643
         276     1.18488     1.28683   0.0190985
         277     1.18434     1.28646   0.0190331
