#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         158   0.0901811   0.0947579 0.000578331
         159   0.0903778   0.0947304 0.000575349
         160   0.0905786   0.0947044 0.000572338
         161   0.0907848   0.0946801 0.000569301
         162   0.0909956   0.0946573  0.00056624
         163   0.0912118   0.0946362 0.000563161
         164   0.0914325   0.0946167 0.000560066
         165    0.091659   0.0945987 0.000556958
         166   0.0918917   0.0945824 0.000553842
         167   0.0921303   0.0945677  0.00055072
         168   0.0923754   0.0945547 0.000547596
         169   0.0926275   0.0945433 0.000544475
         170    0.092887   0.0945335 0.000541359
         171   0.0931543   0.0945255 0.000538254
         172   0.0934301   0.0945191 0.000535162
         173   0.0937155   0.0945145 0.000532089
         174   0.0940107   0.0945116 0.000529038
         175   0.0943177   0.0945105 0.000526017
         176   0.0946361   0.0945112 0.000523028
         177   0.0949667   0.0945137  0.00052008
         178   0.0953109   0.0945182 0.000517177
         179   0.0956698   0.0945247 0.000514328
         180   0.0960441   0.0945331  0.00051154
         181   0.0964344   0.0945436 0.000508821
         182   0.0968428   0.0945562 0.000506183
         183    0.097269   0.0945711 0.000503634
         184   0.0977139   0.0945881 0.000501186
         185   0.0981791   0.0946076 0.000498853
         186   0.0986652   0.0946294 0.000496647
         187   0.0991713   0.0946537 0.000494585
         188   0.0996976   0.0946805 0.000492681
         189    0.100244   0.0947099 0.000490953
         190     0.10081    0.094742 0.000489418
         191    0.101392   0.0947768 0.000488092
         192    0.101989   0.0948144 0.000486994
         193    0.102599   0.0948547 0.000486138
         194    0.103218   0.0948978 0.000485539
         195     0.10384   0.0949437  0.00048521
         196    0.104463   0.0949923 0.000485159
         197    0.105079   0.0950435 0.000485391
         198    0.105681   0.0950972 0.000485904
         199    0.106262   0.0951533  0.00048669
         200    0.106815   0.0952116 0.000487737
         201    0.107331   0.0952719 0.000489023
         202      0.1078   0.0953339 0.000490519
         203    0.108215   0.0953974  0.00049219
         204    0.108567   0.0954619 0.000493993
         205    0.108848   0.0955272  0.00049588
         206    0.109052   0.0955929   0.0004978
         207    0.109171   0.0956585 0.000499698
         208    0.109202   0.0957236  0.00050152
         209    0.109141   0.0957878 0.000503213
         210    0.108989   0.0958507 0.000504728
         211    0.108743   0.0959118 0.000506021
         212    0.108408   0.0959707 0.000507055
         213    0.107987   0.0960271 0.000507804
         214    0.107486   0.0960807 0.000508246
         215     0.10691    0.096131 0.000508372
         216    0.106268    0.096178  0.00050818
         217    0.105569   0.0962213 0.000507678
         218    0.104822   0.0962607  0.00050688
         219    0.104036   0.0962962 0.000505807
         220    0.103219   0.0963277 0.000504486
         221    0.102382   0.0963551 0.000502946
         222    0.101533   0.0963784 0.000501221
         223    0.100678   0.0963977 0.000499344
         224    0.099827    0.096413 0.000497349
         225   0.0989841   0.0964244  0.00049527
         226   0.0981552   0.0964321 0.000493138
         227   0.0973456   0.0964361 0.000490982
         228    0.096558   0.0964366 0.000488829
         229   0.0957966   0.0964338 0.000486702
         230   0.0950626   0.0964279 0.000484623
         231   0.0943584   0.0964189 0.000482608
         232    0.093685   0.0964071 0.000480671
         233   0.0930434   0.0963927 0.000478825
