#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         165     2.65644     2.68934  0.00102644
         166     2.65468     2.68913  0.00104128
         167     2.65325     2.68892  0.00105698
         168     2.65213      2.6887  0.00107313
         169     2.65133     2.68848  0.00108933
         170     2.65082     2.68826  0.00110522
         171      2.6506     2.68804  0.00112049
         172     2.65065     2.68782  0.00113486
         173     2.65096     2.68761  0.00114813
         174     2.65149      2.6874  0.00116014
         175     2.65224      2.6872  0.00117078
         176     2.65318     2.68701  0.00117998
         177     2.65429     2.68682   0.0011877
         178     2.65555     2.68664  0.00119395
         179     2.65693     2.68648  0.00119877
         180     2.65841     2.68632  0.00120221
         181     2.65998     2.68618  0.00120435
         182     2.66161     2.68604  0.00120527
         183     2.66329     2.68592  0.00120508
         184       2.665      2.6858  0.00120388
         185     2.66673      2.6857  0.00120178
         186     2.66845     2.68561  0.00119889
         187     2.67017     2.68553  0.00119532
         188     2.67188     2.68545  0.00119116
         189     2.67354     2.68539  0.00118653
         190     2.67518     2.68534   0.0011815
         191     2.67677     2.68529  0.00117616
         192     2.67829     2.68526   0.0011706
         193     2.67977     2.68523  0.00116488
         194     2.68119     2.68521  0.00115906
         195     2.68256     2.68519   0.0011532
         196     2.68386     2.68519  0.00114734
         197      2.6851     2.68519  0.00114151
         198     2.68628     2.68519  0.00113576
         199     2.68739      2.6852  0.00113011
         200     2.68844     2.68522  0.00112457
         201     2.68941     2.68524  0.00111917
         202      2.6903     2.68526  0.00111391
         203     2.69111     2.68529   0.0011088
         204     2.69182     2.68532  0.00110382
         205     2.69242     2.68536  0.00109898
         206      2.6929      2.6854  0.00109425
         207     2.69324     2.68543  0.00108962
         208     2.69342     2.68547  0.00108506
         209     2.69342     2.68551  0.00108054
         210     2.69326     2.68555  0.00107602
         211      2.6929     2.68558  0.00107149
         212     2.69236     2.68561  0.00106691
         213     2.69162     2.68564  0.00106227
         214     2.69071     2.68567  0.00105757
         215     2.68965     2.68568  0.00105281
         216     2.68844      2.6857  0.00104802
         217     2.68713      2.6857  0.00104321
         218     2.68576      2.6857  0.00103842
         219     2.68435      2.6857   0.0010337
         220     2.68294     2.68569  0.00102908
         221      2.6816     2.68567  0.00102459
         222     2.68034     2.68564  0.00102025
         223      2.6792     2.68561  0.00101609
         224     2.67821     2.68558  0.00101209
         225      2.6774     2.68554  0.00100824
         226     2.67678     2.68551  0.00100453
         227     2.67635     2.68547  0.00100091
         228     2.67613     2.68542 0.000997359
         229     2.67609     2.68538 0.000993836
         230     2.67624     2.68534  0.00099031
         231     2.67655     2.68531 0.000986755
         232       2.677     2.68527 0.000983151
         233     2.67756     2.68524 0.000979488
         234     2.67823     2.68521 0.000975761
         235     2.67896     2.68518 0.000971971
         236     2.67975     2.68516 0.000968125
         237     2.68056     2.68514 0.000964235
         238     2.68138     2.68512 0.000960312
         239     2.68219     2.68511 0.000956373
         240     2.68298      2.6851 0.000952429
         241     2.68373      2.6851 0.000948494
         242     2.68443     2.68509 0.000944579
         243     2.68507     2.68509 0.000940691
         244     2.68567     2.68509 0.000936839
         245      2.6862      2.6851 0.000933026
         246     2.68665     2.68511 0.000929255
         247     2.68703     2.68511 0.000925525
         248     2.68735     2.68512 0.000921837
         249     2.68759     2.68513 0.000918188
