#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     3.56868     4.07741   0.0228107
         168     3.60133     4.07457   0.0228502
         169     3.63507     4.07197   0.0228625
         170     3.66961      4.0696   0.0228502
         171     3.70463     4.06747   0.0228161
         172     3.73985     4.06556   0.0227628
         173       3.775     4.06389   0.0226931
         174     3.80983     4.06243   0.0226096
         175     3.84411     4.06118   0.0225148
         176     3.87763     4.06013    0.022411
         177     3.91019     4.05929   0.0223004
         178     3.94163     4.05863   0.0221849
         179     3.97181     4.05814   0.0220663
         180     4.00061     4.05782    0.021946
         181     4.02791     4.05766   0.0218254
         182     4.05364     4.05763   0.0217055
         183     4.07774     4.05774   0.0215871
         184     4.10015     4.05797    0.021471
         185     4.12086     4.05831   0.0213577
         186     4.13983     4.05875   0.0212473
         187     4.15708     4.05928   0.0211402
         188     4.17261     4.05988   0.0210364
         189     4.18645     4.06055   0.0209357
         190     4.19862     4.06128   0.0208381
         191     4.20916     4.06205   0.0207434
         192     4.21812     4.06287   0.0206513
         193     4.22555     4.06371   0.0205615
         194     4.23151     4.06457   0.0204737
         195     4.23605     4.06545   0.0203876
         196     4.23922     4.06634   0.0203028
         197      4.2411     4.06723   0.0202191
         198     4.24174     4.06811   0.0201362
         199     4.24121     4.06898   0.0200538
         200     4.23957     4.06983   0.0199717
         201     4.23688     4.07066   0.0198896
         202     4.23323     4.07147   0.0198074
         203     4.22869     4.07224    0.019725
         204     4.22335     4.07298   0.0196422
         205     4.21731     4.07369    0.019559
         206     4.21067     4.07435   0.0194753
         207     4.20357     4.07497   0.0193913
         208     4.19615     4.07556   0.0193068
         209     4.18856      4.0761    0.019222
         210     4.18096      4.0766   0.0191369
         211     4.17355     4.07706   0.0190517
         212     4.16651     4.07748   0.0189665
         213     4.16002     4.07787   0.0188815
         214     4.15428     4.07822   0.0187966
         215     4.14947     4.07855   0.0187121
         216     4.14573     4.07887   0.0186281
         217     4.14321     4.07916   0.0185446
         218       4.142     4.07945   0.0184617
         219     4.14218     4.07974   0.0183797
         220     4.14377     4.08003   0.0182984
         221     4.14676     4.08033   0.0182181
         222      4.1511     4.08065   0.0181388
         223     4.15669     4.08099   0.0180607
         224     4.16341     4.08136   0.0179838
         225     4.17111     4.08176   0.0179083
         226     4.17962     4.08219   0.0178343
         227     4.18873     4.08266   0.0177619
         228     4.19826     4.08317   0.0176913
         229     4.20801     4.08371   0.0176224
         230      4.2178     4.08429   0.0175554
         231     4.22743     4.08491   0.0174904
         232     4.23675     4.08557   0.0174272
         233     4.24562     4.08626   0.0173659
         234     4.25393     4.08697   0.0173065
         235     4.26157     4.08771   0.0172488
         236     4.26848     4.08848   0.0171927
         237      4.2746     4.08927   0.0171381
         238     4.27991     4.09007   0.0170848
         239      4.2844     4.09088   0.0170327
         240     4.28809      4.0917   0.0169815
         241     4.29099     4.09253   0.0169312
         242     4.29315     4.09336   0.0168815
         243     4.29462     4.09419   0.0168323
         244     4.29544     4.09501   0.0167835
         245     4.29568     4.09583    0.016735
         246     4.29541     4.09664   0.0166866
         247      4.2947     4.09744   0.0166383
         248     4.29361     4.09823     0.01659
         249     4.29222     4.09901   0.0165417
         250     4.29059     4.09978   0.0164932
         251     4.28877     4.10053   0.0164447
         252     4.28685     4.10127   0.0163961
         253     4.28486       4.102   0.0163473
         254     4.28286     4.10271   0.0162984
         255     4.28091     4.10341   0.0162495
         256     4.27903     4.10409   0.0162005
         257     4.27726     4.10477   0.0161515
         258     4.27565     4.10543   0.0161024
         259      4.2742     4.10608   0.0160535
         260     4.27295     4.10672   0.0160045
         261      4.2719     4.10736   0.0159557
         262     4.27107     4.10798   0.0159071
         263     4.27046      4.1086   0.0158586
         264     4.27008     4.10921   0.0158103
         265     4.26991     4.10982   0.0157622
         266     4.26994     4.11042   0.0157145
         267     4.27017     4.11102    0.015667
         268     4.27056     4.11161   0.0156199
         269     4.27111     4.11221    0.015573
         270     4.27177      4.1128   0.0155266
         271     4.27252     4.11339   0.0154805
         272     4.27332     4.11397   0.0154347
         273     4.27414     4.11456   0.0153893
         274     4.27494     4.11515   0.0153443
         275     4.27566     4.11573   0.0152996
         276     4.27628     4.11631   0.0152552
         277     4.27673     4.11689   0.0152111
         278     4.27698     4.11747   0.0151673
         279     4.27699     4.11804   0.0151237
         280     4.27669     4.11861   0.0150803
         281     4.27606     4.11917    0.015037
         282     4.27504     4.11972   0.0149939
         283      4.2736     4.12026   0.0149508
         284      4.2717      4.1208   0.0149076
         285     4.26929     4.12132   0.0148644
         286     4.26636     4.12182   0.0148211
         287     4.26288     4.12231   0.0147776
         288     4.25882     4.12279   0.0147339
         289     4.25417     4.12324   0.0146899
         290     4.24891     4.12368   0.0146456
         291     4.24306     4.12409   0.0146011
         292      4.2366     4.12447   0.0145561
         293     4.22955     4.12483   0.0145109
         294     4.22193     4.12516   0.0144653
         295     4.21377     4.12546   0.0144194
         296     4.20511     4.12573   0.0143732
         297     4.19599     4.12597   0.0143267
         298     4.18647     4.12617   0.0142801
         299     4.17662     4.12634   0.0142333
         300     4.16651     4.12647   0.0141865
         301     4.15623     4.12657   0.0141397
         302     4.14587     4.12664    0.014093
         303     4.13553     4.12666   0.0140466
         304     4.12532     4.12666   0.0140003
         305     4.11536     4.12662   0.0139545
         306     4.10576     4.12656   0.0139091
         307     4.09663     4.12646   0.0138641
         308     4.08809     4.12633   0.0138196
         309     4.08024     4.12618   0.0137757
         310     4.07319     4.12601   0.0137323
         311     4.06702     4.12582   0.0136895
         312     4.06181     4.12562   0.0136472
         313     4.05763      4.1254   0.0136053
         314     4.05449     4.12518   0.0135638
