#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.692772    -1.45099   0.0186533
         153   -0.684369    -1.44598   0.0191925
         154    -0.67958      -1.441   0.0197026
         155   -0.678458    -1.43608   0.0201803
         156   -0.681035    -1.43124   0.0206232
         157   -0.687274     -1.4265   0.0210292
         158   -0.697109    -1.42188   0.0213968
         159   -0.710399    -1.41741   0.0217251
         160   -0.726988    -1.41309   0.0220137
         161   -0.746678    -1.40895   0.0222627
         162   -0.769253    -1.40501   0.0224728
         163   -0.794434    -1.40126   0.0226449
         164   -0.821949    -1.39773   0.0227807
         165   -0.851489    -1.39442   0.0228819
         166    -0.88276    -1.39134   0.0229507
         167   -0.915432    -1.38849   0.0229895
         168   -0.949197    -1.38587   0.0230009
         169   -0.983747    -1.38349   0.0229875
         170    -1.01879    -1.38135   0.0229522
         171    -1.05403    -1.37943   0.0228977
         172     -1.0892    -1.37774   0.0228266
         173    -1.12404    -1.37628   0.0227417
         174    -1.15834    -1.37503   0.0226455
         175    -1.19187    -1.37398   0.0225403
         176    -1.22445    -1.37313   0.0224282
         177     -1.2559    -1.37247   0.0223113
         178    -1.28609    -1.37198   0.0221912
         179    -1.31489    -1.37166   0.0220695
         180     -1.3422     -1.3715   0.0219475
         181    -1.36793    -1.37148   0.0218263
         182    -1.39203    -1.37159   0.0217067
         183    -1.41445    -1.37183   0.0215893
         184    -1.43515    -1.37217   0.0214747
         185    -1.45413    -1.37261   0.0213632
         186    -1.47138    -1.37314   0.0212549
         187    -1.48691    -1.37375     0.02115
         188    -1.50074    -1.37443   0.0210483
         189     -1.5129    -1.37516   0.0209496
         190    -1.52344    -1.37594   0.0208539
         191    -1.53239    -1.37676   0.0207608
         192    -1.53983    -1.37761     0.02067
         193    -1.54578    -1.37848   0.0205813
         194    -1.55032    -1.37937   0.0204943
         195    -1.55349    -1.38026   0.0204086
         196    -1.55536    -1.38115    0.020324
         197      -1.556    -1.38204   0.0202402
         198    -1.55546    -1.38292    0.020157
         199    -1.55382    -1.38378   0.0200739
         200    -1.55113    -1.38461    0.019991
         201    -1.54747    -1.38542    0.019908
         202    -1.54293     -1.3862   0.0198247
         203    -1.53758    -1.38695    0.019741
         204    -1.53154    -1.38766    0.019657
         205    -1.52489    -1.38833   0.0195725
         206    -1.51777    -1.38895   0.0194876
         207    -1.51033    -1.38954   0.0194022
         208    -1.50273    -1.39009   0.0193166
         209    -1.49513    -1.39059   0.0192307
         210    -1.48771    -1.39105   0.0191447
         211    -1.48065    -1.39147   0.0190587
         212    -1.47415    -1.39186   0.0189728
         213     -1.4684    -1.39222   0.0188871
         214    -1.46358    -1.39256   0.0188018
         215    -1.45982    -1.39287   0.0187169
         216    -1.45729    -1.39317   0.0186326
         217    -1.45608    -1.39346    0.018549
         218    -1.45625    -1.39375   0.0184662
         219    -1.45783    -1.39404   0.0183842
         220    -1.46083    -1.39434   0.0183031
         221    -1.46516    -1.39466   0.0182231
         222    -1.47076    -1.39501   0.0181443
         223    -1.47749    -1.39538   0.0180667
         224     -1.4852    -1.39578   0.0179905
         225    -1.49371    -1.39621   0.0179158
         226    -1.50284    -1.39668   0.0178427
         227    -1.51238    -1.39719   0.0177714
         228    -1.52214    -1.39774   0.0177019
         229    -1.53193    -1.39833   0.0176343
         230    -1.54155    -1.39895   0.0175686
         231    -1.55088    -1.39961   0.0175048
         232    -1.55975     -1.4003    0.017443
         233    -1.56806    -1.40102    0.017383
         234     -1.5757    -1.40176   0.0173247
         235    -1.58261    -1.40253   0.0172681
         236    -1.58873    -1.40332   0.0172129
         237    -1.59404    -1.40413   0.0171591
         238    -1.59853    -1.40494   0.0171064
         239    -1.60221    -1.40577   0.0170548
         240    -1.60511     -1.4066   0.0170039
         241    -1.60727    -1.40743   0.0169537
         242    -1.60873    -1.40827   0.0169041
         243    -1.60954    -1.40909   0.0168548
         244    -1.60977    -1.40992   0.0168058
         245    -1.60948    -1.41073   0.0167569
         246    -1.60876    -1.41154   0.0167081
         247    -1.60767    -1.41233   0.0166593
         248    -1.60627    -1.41311   0.0166105
         249    -1.60463    -1.41388   0.0165616
         250    -1.60282    -1.41464   0.0165126
         251    -1.60089    -1.41538   0.0164634
         252    -1.59889    -1.41611   0.0164142
         253    -1.59689    -1.41682   0.0163649
         254    -1.59492    -1.41752   0.0163155
         255    -1.59304    -1.41821    0.016266
         256    -1.59127    -1.41889   0.0162165
         257    -1.58965    -1.41955    0.016167
         258     -1.5882     -1.4202   0.0161175
         259    -1.58695    -1.42085   0.0160682
         260     -1.5859    -1.42148   0.0160189
         261    -1.58507    -1.42211   0.0159698
         262    -1.58447    -1.42273   0.0159209
         263    -1.58407    -1.42334   0.0158721
         264    -1.58389    -1.42395   0.0158237
         265    -1.58393    -1.42456   0.0157755
         266    -1.58416    -1.42516   0.0157276
         267    -1.58455    -1.42575     0.01568
         268     -1.5851    -1.42635   0.0156327
         269    -1.58576    -1.42694   0.0155859
         270    -1.58651    -1.42753   0.0155393
         271    -1.58732    -1.42812   0.0154932
         272    -1.58814    -1.42871   0.0154474
         273    -1.58893     -1.4293   0.0154019
         274    -1.58966    -1.42988   0.0153568
         275    -1.59026    -1.43046   0.0153121
         276    -1.59073    -1.43104   0.0152676
         277    -1.59098    -1.43162   0.0152234
         278    -1.59098     -1.4322   0.0151794
         279    -1.59068    -1.43276   0.0151356
         280    -1.59004    -1.43332    0.015092
         281    -1.58903    -1.43388   0.0150485
         282    -1.58759    -1.43442    0.015005
         283    -1.58569    -1.43496   0.0149615
         284    -1.58328    -1.43548   0.0149179
         285    -1.58035    -1.43599   0.0148742
         286    -1.57687    -1.43648   0.0148304
         287    -1.57281    -1.43696   0.0147863
         288    -1.56816    -1.43741    0.014742
         289     -1.5629    -1.43785   0.0146973
         290    -1.55705    -1.43826   0.0146524
         291    -1.55059    -1.43864   0.0146071
         292    -1.54354      -1.439   0.0145615
         293    -1.53592    -1.43933   0.0145156
         294    -1.52776    -1.43963   0.0144693
         295     -1.5191     -1.4399   0.0144228
         296    -1.50998    -1.44014    0.014376
         297    -1.50045    -1.44034    0.014329
         298    -1.49059    -1.44051    0.014282
         299    -1.48047    -1.44065   0.0142348
         300    -1.47019    -1.44074   0.0141877
         301    -1.45982    -1.44081   0.0141407
         302    -1.44948    -1.44084   0.0140939
         303    -1.43926    -1.44083   0.0140474
         304    -1.42929    -1.44079   0.0140012
         305    -1.41968    -1.44072   0.0139555
         306    -1.41054    -1.44063   0.0139103
         307    -1.40199     -1.4405   0.0138655
         308    -1.39413    -1.44035   0.0138213
         309    -1.38708    -1.44018   0.0137777
         310     -1.3809    -1.43999   0.0137345
         311    -1.37569    -1.43978   0.0136919
         312    -1.37149    -1.43956   0.0136498
         313    -1.36837    -1.43933   0.0136081
         314    -1.36631     -1.4391   0.0135667
         315    -1.36534    -1.43887   0.0135257
         316    -1.36543    -1.43863   0.0134849
         317    -1.36654    -1.43841   0.0134443
         318    -1.36862    -1.43819   0.0134038
         319    -1.37158    -1.43798   0.0133634
         320    -1.37534    -1.43778   0.0133231
         321     -1.3798     -1.4376   0.0132828
         322    -1.38485    -1.43744   0.0132425
         323    -1.39038    -1.43729   0.0132023
         324    -1.39627    -1.43717   0.0131622
         325    -1.40242    -1.43706   0.0131221
         326    -1.40871    -1.43697   0.0130822
         327    -1.41503     -1.4369   0.0130423
         328     -1.4213    -1.43686   0.0130027
         329    -1.42743    -1.43683   0.0129632
         330    -1.43335    -1.43682   0.0129239
         331    -1.43899    -1.43682   0.0128848
         332    -1.44431    -1.43685   0.0128461
         333    -1.44925    -1.43688   0.0128075
         334    -1.45379    -1.43693   0.0127693
         335    -1.45791      -1.437   0.0127313
         336    -1.46156    -1.43707   0.0126936
         337    -1.46476    -1.43715   0.0126562
