#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.69311     2.69311           0
           2     2.69319     2.69315 2.59715e-05
           3     2.69326     2.69319 3.35417e-05
           4     2.69333     2.69322 3.99726e-05
           5     2.69339     2.69325 4.38683e-05
           6     2.69344     2.69329 4.62265e-05
           7     2.69349     2.69331 4.76314e-05
           8     2.69353     2.69334  4.8454e-05
           9     2.69356     2.69336 4.87168e-05
          10     2.69358     2.69339 4.85537e-05
          11      2.6936     2.69341 4.79514e-05
          12     2.69361     2.69342 4.67977e-05
          13      2.6936     2.69344 4.52071e-05
          14     2.69359     2.69345 4.33212e-05
          15     2.69357     2.69346 4.12166e-05
          16     2.69355     2.69346 3.90323e-05
          17      2.6935     2.69346 3.68143e-05
          18     2.69346     2.69346  3.4772e-05
          19      2.6934     2.69346 3.30948e-05
          20     2.69334     2.69345 3.20144e-05
          21     2.69327     2.69345 3.17228e-05
          22     2.69318     2.69343 3.24484e-05
          23     2.69309     2.69342 3.42515e-05
          24       2.693      2.6934 3.69325e-05
          25      2.6929     2.69338 4.05011e-05
          26      2.6928     2.69336 4.46903e-05
          27     2.69269     2.69333 4.93491e-05
          28     2.69258     2.69331 5.43859e-05
          29     2.69247     2.69328 5.96781e-05
          30     2.69235     2.69325 6.51968e-05
          31     2.69224     2.69322 7.07697e-05
          32     2.69212     2.69318  7.6331e-05
          33     2.69201     2.69315 8.18255e-05
          34     2.69191     2.69311 8.71775e-05
          35      2.6918     2.69307  9.2381e-05
          36      2.6917     2.69303 9.73765e-05
          37      2.6916       2.693 0.000102189
          38     2.69151     2.69296 0.000106721
          39     2.69142     2.69292 0.000111007
          40     2.69134     2.69288 0.000115051
          41     2.69126     2.69284  0.00011882
          42     2.69119      2.6928 0.000122306
          43     2.69113     2.69276 0.000125492
          44     2.69107     2.69272 0.000128411
          45     2.69101     2.69268 0.000131049
          46     2.69097     2.69265 0.000133398
          47     2.69092     2.69261 0.000135493
          48     2.69089     2.69257 0.000137317
          49     2.69086     2.69254 0.000138895
          50     2.69083      2.6925 0.000140249
          51     2.69081     2.69247 0.000141379
          52     2.69079     2.69244 0.000142299
          53     2.69077     2.69241  0.00014304
          54     2.69077     2.69238 0.000143587
          55     2.69076     2.69235 0.000143962
          56     2.69076     2.69232  0.00014417
          57     2.69075     2.69229 0.000144234
          58     2.69075     2.69227 0.000144173
          59     2.69075     2.69224 0.000143997
          60     2.69075     2.69221  0.00014371
          61     2.69076     2.69219 0.000143321
          62     2.69077     2.69217 0.000142841
          63     2.69077     2.69215 0.000142278
          64     2.69078     2.69212 0.000141641
          65     2.69079      2.6921 0.000140942
          66      2.6908     2.69208 0.000140177
          67     2.69082     2.69207 0.000139354
          68     2.69083     2.69205 0.000138487
          69     2.69084     2.69203 0.000137587
          70     2.69085     2.69201 0.000136655
          71     2.69087       2.692  0.00013568
          72     2.69088     2.69198 0.000134682
          73      2.6909     2.69197 0.000133648
          74     2.69092     2.69195 0.000132588
          75     2.69094     2.69194 0.000131503
          76     2.69096     2.69193 0.000130401
          77     2.69098     2.69191 0.000129286
          78       2.691      2.6919 0.000128158
          79     2.69102     2.69189 0.000127021
          80     2.69104     2.69188  0.00012588
          81     2.69106     2.69187 0.000124733
          82     2.69108     2.69186 0.000123583
          83     2.69111     2.69185 0.000122428
          84     2.69113     2.69184 0.000121268
          85     2.69116     2.69183 0.000120104
          86     2.69119     2.69183 0.000118939
          87     2.69122     2.69182 0.000117779
          88     2.69124     2.69181 0.000116623
          89     2.69127     2.69181  0.00011547
          90      2.6913      2.6918 0.000114325
          91     2.69133      2.6918 0.000113188
          92     2.69136     2.69179 0.000112057
          93     2.69139     2.69179 0.000110938
          94     2.69141     2.69178 0.000109828
          95     2.69145     2.69178  0.00010873
          96     2.69147     2.69178 0.000107645
          97      2.6915     2.69177 0.000106573
          98     2.69153     2.69177 0.000105514
          99     2.69156     2.69177  0.00010447
         100     2.69158     2.69177 0.000103442
         101     2.69161     2.69177  0.00010243
         102     2.69164     2.69176 0.000101433
         103     2.69166     2.69176 0.000100453
         104     2.69169     2.69176 9.94896e-05
         105     2.69172     2.69176  9.8543e-05
         106     2.69174     2.69176 9.76136e-05
         107     2.69176     2.69176 9.67013e-05
         108     2.69179     2.69176 9.58063e-05
         109     2.69181     2.69176 9.49283e-05
         110     2.69183     2.69176 9.40676e-05
         111     2.69186     2.69176 9.32243e-05
         112     2.69188     2.69177 9.23979e-05
         113     2.69191     2.69177 9.15888e-05
         114     2.69194     2.69177 9.07974e-05
         115     2.69195     2.69177  9.0022e-05
         116     2.69197     2.69177 8.92633e-05
         117       2.692     2.69177 8.85215e-05
         118     2.69202     2.69178 8.77964e-05
         119     2.69204     2.69178 8.70867e-05
         120     2.69206     2.69178 8.63928e-05
         121     2.69208     2.69178 8.57145e-05
         122      2.6921     2.69179 8.50513e-05
         123     2.69212     2.69179 8.44031e-05
         124     2.69214     2.69179 8.37689e-05
         125     2.69216     2.69179 8.31498e-05
         126     2.69217      2.6918 8.25447e-05
         127     2.69219      2.6918 8.19536e-05
         128     2.69221      2.6918 8.13774e-05
         129     2.69224     2.69181  8.0816e-05
         130     2.69226     2.69181 8.02685e-05
         131     2.69228     2.69181 7.97344e-05
         132     2.69229     2.69182 7.92129e-05
         133     2.69231     2.69182 7.87035e-05
         134     2.69232     2.69182  7.8206e-05
         135     2.69234     2.69183 7.77185e-05
         136     2.69234     2.69183 7.72397e-05
         137     2.69236     2.69184  7.6773e-05
         138     2.69238     2.69184  7.6318e-05
         139      2.6924     2.69184 7.58737e-05
         140     2.69241     2.69185 7.54397e-05
         141     2.69243     2.69185 7.50167e-05
         142     2.69244     2.69186 7.46027e-05
         143     2.69245     2.69186 7.41983e-05
         144     2.69246     2.69186 7.38006e-05
         145     2.69247     2.69187 7.34111e-05
         146     2.69249     2.69187 7.30306e-05
         147      2.6925     2.69188 7.26588e-05
         148     2.69251     2.69188 7.22947e-05
         149     2.69253     2.69189 7.19389e-05
         150     2.69254     2.69189 7.15913e-05
         151     2.69255     2.69189 7.12517e-05
         152     2.69256      2.6919  7.0919e-05
         153     2.69258      2.6919  7.0594e-05
         154     2.69259     2.69191 7.02746e-05
         155      2.6926     2.69191 6.99617e-05
         156     2.69261     2.69192 6.96563e-05
         157     2.69262     2.69192 6.93584e-05
         158     2.69264     2.69193 6.90688e-05
         159     2.69266     2.69193 6.87876e-05
         160     2.69267     2.69194 6.85131e-05
         161     2.69269     2.69194 6.82472e-05
         162     2.69271     2.69194 6.79893e-05
         163     2.69273     2.69195 6.77408e-05
         164     2.69274     2.69195 6.74988e-05
         165     2.69276     2.69196 6.72651e-05
         166     2.69278     2.69196 6.70422e-05
         167     2.69281     2.69197 6.68299e-05
         168     2.69283     2.69197 6.66292e-05
         169     2.69286     2.69198 6.64411e-05
         170     2.69289     2.69198  6.6267e-05
         171     2.69293     2.69199 6.61073e-05
         172     2.69296       2.692 6.59635e-05
         173       2.693       2.692 6.58391e-05
         174     2.69305     2.69201 6.57351e-05
         175     2.69311     2.69201 6.56593e-05
         176     2.69317     2.69202 6.56137e-05
         177     2.69323     2.69203 6.55991e-05
         178      2.6933     2.69203 6.56195e-05
         179     2.69338     2.69204 6.56806e-05
         180     2.69346     2.69205 6.57855e-05
