#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      2.9846     2.99389   0.0013187
         169     2.98359     2.99383   0.0013123
         170     2.98256     2.99376  0.00130626
         171     2.98149     2.99369  0.00130059
         172     2.98038     2.99361  0.00129533
         173     2.97924     2.99353   0.0012905
         174     2.97805     2.99344  0.00128615
         175     2.97682     2.99334   0.0012823
         176     2.97553     2.99324    0.001279
         177     2.97419     2.99314   0.0012763
         178     2.97278     2.99302  0.00127424
         179      2.9713      2.9929  0.00127288
         180     2.96975     2.99277  0.00127229
         181     2.96812     2.99264  0.00127253
         182      2.9664     2.99249  0.00127368
         183     2.96458     2.99234  0.00127582
         184     2.96267     2.99218  0.00127904
         185     2.96064     2.99201  0.00128343
         186     2.95851     2.99183   0.0012891
         187     2.95626     2.99164  0.00129616
         188     2.95389     2.99144  0.00130473
         189      2.9514     2.99122   0.0013149
         190      2.9488       2.991  0.00132681
         191     2.94607     2.99077  0.00134055
         192     2.94323     2.99052  0.00135624
         193     2.94029     2.99026  0.00137395
         194     2.93726     2.98998  0.00139376
         195     2.93416      2.9897  0.00141571
         196       2.931      2.9894  0.00143981
         197     2.92781     2.98909  0.00146606
         198     2.92462     2.98876  0.00149437
         199     2.92146     2.98842  0.00152466
         200     2.91837     2.98807  0.00155675
         201     2.91539     2.98771  0.00159046
         202     2.91256     2.98734  0.00162551
         203     2.90993     2.98696  0.00166163
         204     2.90755     2.98657  0.00169847
         205     2.90545     2.98617  0.00173566
         206     2.90369     2.98577  0.00177282
         207      2.9023     2.98537  0.00180953
         208      2.9013     2.98496  0.00184542
         209     2.90074     2.98456  0.00188007
         210     2.90062     2.98416  0.00191314
         211     2.90096     2.98377  0.00194429
         212     2.90175     2.98338  0.00197323
         213     2.90298       2.983  0.00199975
         214     2.90464     2.98264  0.00202365
         215     2.90669     2.98228  0.00204483
         216     2.90911     2.98194  0.00206323
         217     2.91186     2.98162  0.00207885
         218     2.91488     2.98132  0.00209174
         219     2.91814     2.98103  0.00210198
         220     2.92158     2.98076  0.00210973
         221     2.92516     2.98051  0.00211513
         222     2.92883     2.98027  0.00211837
         223     2.93254     2.98006  0.00211966
         224     2.93626     2.97986  0.00211919
         225     2.93996     2.97969  0.00211718
         226     2.94359     2.97953  0.00211383
         227     2.94713     2.97938  0.00210933
         228     2.95056     2.97926  0.00210386
         229     2.95387     2.97915  0.00209759
         230     2.95702     2.97905  0.00209068
         231     2.96003     2.97897  0.00208325
         232     2.96287      2.9789  0.00207542
         233     2.96555     2.97884  0.00206731
         234     2.96805     2.97879  0.00205899
         235     2.97039     2.97876  0.00205053
         236     2.97257     2.97873  0.00204201
         237     2.97458     2.97872  0.00203347
         238     2.97644     2.97871  0.00202495
         239     2.97815      2.9787  0.00201648
         240     2.97971     2.97871  0.00200808
         241     2.98113     2.97872  0.00199978
         242     2.98243     2.97873  0.00199157
         243     2.98359     2.97875  0.00198348
         244     2.98464     2.97878  0.00197549
         245     2.98558     2.97881  0.00196763
         246     2.98642     2.97884  0.00195987
         247     2.98716     2.97887  0.00195223
         248     2.98781     2.97891  0.00194469
         249     2.98837     2.97894  0.00193725
         250     2.98886     2.97898   0.0019299
         251     2.98927     2.97902  0.00192265
         252     2.98961     2.97907  0.00191548
         253     2.98988     2.97911  0.00190839
         254      2.9901     2.97915  0.00190136
         255     2.99026      2.9792  0.00189441
         256     2.99037     2.97924  0.00188751
         257     2.99043     2.97928  0.00188067
         258     2.99045     2.97933  0.00187387
         259     2.99042     2.97937  0.00186713
         260     2.99036     2.97941  0.00186042
         261     2.99026     2.97945  0.00185376
         262     2.99013     2.97949  0.00184713
         263     2.98997     2.97953  0.00184054
         264     2.98978     2.97957  0.00183398
         265     2.98956     2.97961  0.00182744
         266     2.98933     2.97965  0.00182094
         267     2.98907     2.97968  0.00181446
         268     2.98879     2.97972  0.00180801
         269      2.9885     2.97975  0.00180158
         270     2.98819     2.97978  0.00179518
         271     2.98787     2.97981   0.0017888
         272     2.98754     2.97984  0.00178245
         273      2.9872     2.97987  0.00177613
         274     2.98685     2.97989  0.00176983
         275      2.9865     2.97991  0.00176356
         276     2.98614     2.97994  0.00175731
         277     2.98579     2.97996  0.00175109
         278     2.98543     2.97998  0.00174491
         279     2.98507        2.98  0.00173875
         280     2.98472     2.98001  0.00173262
         281     2.98437     2.98003  0.00172652
         282     2.98402     2.98004  0.00172046
         283     2.98369     2.98006  0.00171443
         284     2.98336     2.98007  0.00170843
         285     2.98304     2.98008  0.00170247
         286     2.98274     2.98009  0.00169654
         287     2.98244      2.9801  0.00169065
         288     2.98216      2.9801  0.00168479
         289      2.9819     2.98011  0.00167897
         290     2.98165     2.98011  0.00167319
         291     2.98141     2.98012  0.00166745
         292      2.9812     2.98012  0.00166174
         293       2.981     2.98013  0.00165607
         294     2.98081     2.98013  0.00165044
         295     2.98065     2.98013  0.00164485
         296      2.9805     2.98013  0.00163929
         297     2.98037     2.98013  0.00163377
         298     2.98026     2.98013  0.00162829
         299     2.98016     2.98013  0.00162285
         300     2.98008     2.98013  0.00161744
         301     2.98001     2.98013  0.00161206
         302     2.97996     2.98013  0.00160672
         303     2.97993     2.98013  0.00160142
         304      2.9799     2.98013  0.00159615
         305     2.97989     2.98013  0.00159092
         306     2.97988     2.98013  0.00158572
         307     2.97989     2.98013  0.00158056
         308      2.9799     2.98013  0.00157543
         309     2.97991     2.98013  0.00157033
         310     2.97993     2.98012  0.00156526
         311     2.97995     2.98012  0.00156023
         312     2.97996     2.98012  0.00155523
         313     2.97997     2.98012  0.00155026
         314     2.97998     2.98012  0.00154532
         315     2.97998     2.98012  0.00154042
         316     2.97997     2.98012  0.00153554
         317     2.97995     2.98012   0.0015307
         318     2.97991     2.98012  0.00152589
         319     2.97986     2.98012   0.0015211
         320     2.97979     2.98012  0.00151635
         321      2.9797     2.98012  0.00151163
         322     2.97959     2.98012  0.00150693
         323     2.97946     2.98011  0.00150227
         324      2.9793     2.98011  0.00149763
         325     2.97912     2.98011  0.00149303
         326      2.9789      2.9801  0.00148845
         327     2.97866      2.9801  0.00148391
         328     2.97839     2.98009  0.00147939
         329     2.97809     2.98009  0.00147491
         330     2.97776     2.98008  0.00147046
         331     2.97739     2.98007  0.00146604
         332       2.977     2.98006  0.00146165
         333     2.97657     2.98005   0.0014573
         334     2.97611     2.98004  0.00145298
         335     2.97563     2.98003  0.00144871
         336     2.97511     2.98001  0.00144447
         337     2.97456        2.98  0.00144027
         338     2.97399     2.97998  0.00143612
         339     2.97338     2.97996  0.00143202
         340     2.97276     2.97994  0.00142796
         341     2.97211     2.97992  0.00142396
         342     2.97144     2.97989  0.00142001
         343     2.97076     2.97987  0.00141612
         344     2.97005     2.97984  0.00141229
         345     2.96934     2.97981  0.00140852
         346     2.96861     2.97977  0.00140483
         347     2.96788     2.97974  0.00140119
         348     2.96714      2.9797  0.00139764
         349      2.9664     2.97967  0.00139415
         350     2.96567     2.97963  0.00139074
         351     2.96493     2.97958  0.00138741
         352     2.96421     2.97954  0.00138415
         353     2.96349     2.97949  0.00138098
         354     2.96279     2.97945  0.00137788
         355      2.9621      2.9794  0.00137487
         356     2.96142     2.97935  0.00137194
         357     2.96076      2.9793  0.00136908
         358     2.96013     2.97924   0.0013663
         359     2.95951     2.97919   0.0013636
         360     2.95892     2.97913  0.00136097
         361     2.95835     2.97907  0.00135842
         362      2.9578     2.97901  0.00135594
         363     2.95728     2.97895  0.00135353
         364     2.95677     2.97889  0.00135118
         365     2.95629     2.97883  0.00134889
         366     2.95583     2.97877  0.00134667
         367      2.9554     2.97871  0.00134451
         368     2.95498     2.97864   0.0013424
         369     2.95457     2.97858  0.00134035
         370     2.95418     2.97851  0.00133834
         371     2.95381     2.97844  0.00133639
         372     2.95345     2.97838  0.00133449
         373     2.95309     2.97831  0.00133263
         374     2.95275     2.97824  0.00133082
         375     2.95241     2.97817  0.00132905
         376     2.95207      2.9781  0.00132733
         377     2.95174     2.97803  0.00132564
         378     2.95141     2.97796  0.00132401
         379     2.95107     2.97789  0.00132241
         380     2.95074     2.97782  0.00132086
         381      2.9504     2.97775  0.00131936
         382     2.95005     2.97767  0.00131789
         383     2.94971      2.9776  0.00131647
         384     2.94936     2.97753   0.0013151
         385     2.94901     2.97745  0.00131377
         386     2.94865     2.97738  0.00131248
         387      2.9483      2.9773  0.00131124
         388     2.94795     2.97723  0.00131004
         389      2.9476     2.97715  0.00130888
         390     2.94727     2.97708  0.00130777
         391     2.94694       2.977  0.00130669
         392     2.94664     2.97692  0.00130565
         393     2.94635     2.97684  0.00130464
         394     2.94609     2.97677  0.00130367
         395     2.94586     2.97669  0.00130271
         396     2.94568     2.97661  0.00130177
         397     2.94553     2.97653  0.00130085
         398     2.94544     2.97645  0.00129992
         399      2.9454     2.97637  0.00129899
         400     2.94542      2.9763  0.00129805
         401     2.94551     2.97622  0.00129708
         402     2.94568     2.97614  0.00129607
         403     2.94592     2.97607  0.00129503
         404     2.94625       2.976  0.00129392
         405     2.94667     2.97592  0.00129275
         406     2.94717     2.97585  0.00129151
         407     2.94777     2.97578  0.00129017
         408     2.94846     2.97572  0.00128875
         409     2.94924     2.97565  0.00128722
         410     2.95011     2.97559  0.00128559
         411     2.95107     2.97553  0.00128384
         412     2.95212     2.97547  0.00128198
         413     2.95326     2.97542  0.00128001
         414     2.95447     2.97537  0.00127792
         415     2.95575     2.97532  0.00127571
         416     2.95709     2.97528   0.0012734
         417      2.9585     2.97524  0.00127098
         418     2.95996      2.9752  0.00126846
         419     2.96146     2.97517  0.00126586
         420     2.96299     2.97514  0.00126318
         421     2.96456     2.97511  0.00126043
         422     2.96614     2.97509  0.00125762
         423     2.96774     2.97507  0.00125477
         424     2.96934     2.97506  0.00125188
         425     2.97093     2.97505  0.00124897
         426     2.97252     2.97505  0.00124606
         427     2.97409     2.97504  0.00124314
         428     2.97564     2.97504  0.00124024
         429     2.97716     2.97505  0.00123735
         430     2.97865     2.97506  0.00123451
         431     2.98009     2.97507   0.0012317
         432      2.9815     2.97508  0.00122894
         433     2.98287      2.9751  0.00122623
         434     2.98418     2.97512  0.00122358
         435     2.98545     2.97515    0.001221
         436     2.98666     2.97517  0.00121848
         437     2.98783      2.9752  0.00121604
         438     2.98893     2.97523  0.00121367
         439     2.98998     2.97527  0.00121137
         440     2.99098      2.9753  0.00120914
         441     2.99192     2.97534  0.00120699
         442      2.9928     2.97538   0.0012049
         443     2.99362     2.97542  0.00120288
         444     2.99439     2.97546  0.00120093
         445      2.9951     2.97551  0.00119905
         446     2.99576     2.97555  0.00119722
         447     2.99636      2.9756  0.00119544
         448      2.9969     2.97565  0.00119372
         449     2.99739      2.9757  0.00119204
         450     2.99782     2.97575  0.00119041
         451     2.99819      2.9758  0.00118881
         452     2.99851     2.97585  0.00118724
         453     2.99877      2.9759  0.00118569
         454     2.99897     2.97595  0.00118417
         455     2.99912       2.976  0.00118266
         456     2.99921     2.97605  0.00118117
         457     2.99924      2.9761  0.00117967
         458     2.99922     2.97615  0.00117818
         459     2.99913      2.9762  0.00117667
         460     2.99898     2.97625  0.00117515
         461     2.99877      2.9763  0.00117362
         462     2.99849     2.97635  0.00117206
         463     2.99815     2.97639  0.00117048
         464     2.99774     2.97644  0.00116886
         465     2.99727     2.97648   0.0011672
         466     2.99672     2.97653  0.00116551
         467     2.99611     2.97657  0.00116376
         468     2.99543     2.97661  0.00116197
         469     2.99467     2.97665  0.00116013
         470     2.99384     2.97669  0.00115824
         471     2.99294     2.97672   0.0011563
         472     2.99197     2.97675   0.0011543
         473     2.99093     2.97678  0.00115225
         474     2.98982     2.97681  0.00115015
         475     2.98865     2.97683  0.00114799
         476     2.98741     2.97686   0.0011458
         477     2.98611     2.97688  0.00114356
         478     2.98476     2.97689  0.00114129
         479     2.98335     2.97691  0.00113898
         480     2.98191     2.97692  0.00113666
         481     2.98043     2.97692  0.00113432
         482     2.97893     2.97693  0.00113197
         483     2.97741     2.97693  0.00112963
         484     2.97589     2.97693   0.0011273
         485     2.97438     2.97692  0.00112499
         486     2.97288     2.97691   0.0011227
         487     2.97142      2.9769  0.00112045
         488        2.97     2.97689  0.00111825
         489     2.96865     2.97687  0.00111609
         490     2.96736     2.97685  0.00111398
         491     2.96616     2.97683  0.00111192
         492     2.96506     2.97681  0.00110992
         493     2.96407     2.97678  0.00110797
         494     2.96319     2.97675  0.00110607
         495     2.96244     2.97672  0.00110421
         496     2.96182     2.97669  0.00110239
         497     2.96134     2.97666  0.00110061
         498     2.96099     2.97663  0.00109885
         499     2.96078      2.9766   0.0010971
         500      2.9607     2.97657  0.00109537
         501     2.96075     2.97654  0.00109364
         502     2.96092      2.9765   0.0010919
         503     2.96119     2.97647  0.00109016
         504     2.96157     2.97644  0.00108839
         505     2.96202     2.97642  0.00108661
         506     2.96255     2.97639  0.00108481
         507     2.96313     2.97636  0.00108299
         508     2.96374     2.97634  0.00108114
         509     2.96438     2.97631  0.00107927
         510     2.96502     2.97629  0.00107738
         511     2.96565     2.97627  0.00107547
         512     2.96626     2.97625  0.00107355
         513     2.96682     2.97623  0.00107162
         514     2.96734     2.97622  0.00106967
         515     2.96779      2.9762  0.00106772
         516     2.96818     2.97618  0.00106576
         517     2.96848     2.97617  0.00106381
         518      2.9687     2.97616  0.00106185
         519     2.96884     2.97614   0.0010599
         520     2.96888     2.97613  0.00105795
         521     2.96884     2.97611  0.00105601
         522     2.96872      2.9761  0.00105408
         523     2.96852     2.97608  0.00105217
         524     2.96825     2.97607  0.00105027
         525     2.96791     2.97605  0.00104838
         526     2.96752     2.97604  0.00104651
         527     2.96709     2.97602  0.00104467
         528     2.96663       2.976  0.00104284
         529     2.96616     2.97598  0.00104103
         530     2.96569     2.97596  0.00103925
         531     2.96523     2.97594  0.00103749
         532     2.96481     2.97592  0.00103575
         533     2.96443      2.9759  0.00103403
         534     2.96411     2.97588  0.00103233
         535     2.96387     2.97586  0.00103065
         536     2.96373     2.97583  0.00102897
         537     2.96368     2.97581   0.0010273
         538     2.96374     2.97579  0.00102564
         539     2.96393     2.97577  0.00102397
         540     2.96424     2.97575   0.0010223
         541     2.96469     2.97573  0.00102061
         542     2.96528     2.97571  0.00101891
         543       2.966     2.97569  0.00101719
         544     2.96687     2.97567  0.00101545
         545     2.96787     2.97566  0.00101369
         546       2.969     2.97565  0.00101191
         547     2.97025     2.97564  0.00101011
         548     2.97162     2.97563  0.00100829
         549      2.9731     2.97562  0.00100646
         550     2.97468     2.97562  0.00100463
         551     2.97635     2.97562  0.00100281
         552     2.97809     2.97563  0.00100101
         553      2.9799     2.97564 0.000999225
         554     2.98177     2.97565 0.000997482
         555     2.98367     2.97566  0.00099579
         556     2.98561     2.97568  0.00099416
         557     2.98757      2.9757 0.000992604
         558     2.98953     2.97573 0.000991134
         559      2.9915     2.97575 0.000989763
         560     2.99346     2.97579   0.0009885
         561     2.99539     2.97582 0.000987356
         562      2.9973     2.97586 0.000986339
         563     2.99918      2.9759 0.000985456
         564     3.00101     2.97594 0.000984714
         565      3.0028     2.97599 0.000984118
         566     3.00453     2.97604  0.00098367
         567     3.00621      2.9761 0.000983373
         568     3.00782     2.97615 0.000983227
         569     3.00937     2.97621 0.000983231
         570     3.01085     2.97627 0.000983382
         571     3.01226     2.97633 0.000983677
         572     3.01359      2.9764 0.000984111
         573     3.01484     2.97647 0.000984678
         574     3.01602     2.97654  0.00098537
         575     3.01711     2.97661  0.00098618
         576     3.01812     2.97668 0.000987098
         577     3.01905     2.97675 0.000988114
         578     3.01989     2.97683 0.000989219
         579     3.02064      2.9769   0.0009904
         580      3.0213     2.97698 0.000991647
         581     3.02188     2.97706 0.000992947
         582     3.02236     2.97713 0.000994288
         583     3.02275     2.97721 0.000995657
         584     3.02305     2.97729 0.000997042
         585     3.02326     2.97737 0.000998429
         586     3.02337     2.97745 0.000999806
         587     3.02338     2.97753  0.00100116
         588     3.02329      2.9776  0.00100248
         589     3.02309     2.97768  0.00100375
         590      3.0228     2.97776  0.00100495
         591      3.0224     2.97783  0.00100609
         592     3.02189     2.97791  0.00100714
         593     3.02128     2.97798  0.00100809
         594     3.02055     2.97805  0.00100894
         595     3.01971     2.97812  0.00100967
         596     3.01875     2.97819  0.00101027
         597     3.01767     2.97826  0.00101074
         598     3.01647     2.97832  0.00101107
         599     3.01515     2.97838  0.00101125
         600      3.0137     2.97844  0.00101128
         601     3.01212      2.9785  0.00101115
         602     3.01041     2.97855  0.00101086
         603     3.00857      2.9786   0.0010104
         604      3.0066     2.97865  0.00100979
         605     3.00449     2.97869  0.00100903
         606     3.00225     2.97873  0.00100811
         607     2.99987     2.97876  0.00100705
         608     2.99736     2.97879  0.00100586
         609     2.99472     2.97882  0.00100455
         610     2.99195     2.97884  0.00100313
         611     2.98905     2.97886  0.00100163
         612     2.98603     2.97887  0.00100006
         613      2.9829     2.97887 0.000998453
         614     2.97967     2.97888 0.000996828
         615     2.97634     2.97887 0.000995215
         616     2.97292     2.97886 0.000993647
         617     2.96943     2.97885 0.000992154
         618     2.96588     2.97883  0.00099077
         619     2.96229      2.9788  0.00098953
