#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.305553   -0.302264  0.00145123
         153   -0.304806   -0.302281  0.00144184
         154    -0.30405   -0.302292  0.00143252
         155   -0.303279   -0.302298  0.00142329
         156   -0.302492     -0.3023  0.00141417
         157   -0.301691   -0.302296  0.00140517
         158   -0.300873   -0.302287   0.0013963
         159   -0.300041   -0.302273  0.00138759
         160   -0.299198   -0.302253  0.00137905
         161   -0.298334   -0.302229   0.0013707
         162   -0.297457     -0.3022  0.00136256
         163   -0.296559   -0.302165  0.00135464
         164   -0.295649   -0.302125  0.00134696
         165   -0.294717    -0.30208  0.00133955
         166   -0.293757    -0.30203  0.00133241
         167   -0.292776   -0.301975  0.00132559
         168   -0.291769   -0.301914  0.00131909
         169   -0.290732   -0.301848  0.00131294
         170   -0.289663   -0.301776  0.00130717
         171   -0.288562   -0.301699  0.00130181
         172   -0.287421   -0.301616  0.00129689
         173   -0.286235   -0.301527  0.00129243
         174   -0.285004   -0.301432  0.00128849
         175   -0.283711   -0.301331   0.0012851
         176   -0.282362   -0.301223  0.00128231
         177   -0.280956   -0.301109  0.00128017
         178    -0.27948   -0.300987  0.00127873
         179   -0.277926   -0.300858  0.00127806
         180   -0.276294   -0.300722  0.00127822
         181   -0.274578   -0.300577   0.0012793
         182   -0.272763   -0.300424  0.00128136
         183   -0.270852   -0.300263  0.00128451
         184    -0.26884   -0.300092  0.00128883
         185   -0.266711   -0.299912  0.00129444
         186    -0.26446   -0.299721  0.00130143
         187   -0.262095    -0.29952  0.00130994
         188   -0.259609   -0.299308  0.00132006
         189   -0.256999   -0.299084  0.00133192
         190   -0.254271   -0.298848  0.00134563
         191   -0.251434     -0.2986  0.00136129
         192   -0.248494   -0.298339  0.00137899
         193   -0.245462   -0.298065  0.00139879
         194   -0.242356   -0.297777  0.00142075
         195   -0.239194   -0.297477  0.00144488
         196   -0.235997   -0.297163  0.00147116
         197   -0.232799   -0.296837  0.00149954
         198   -0.229639   -0.296497  0.00152989
         199   -0.226547   -0.296146  0.00156206
         200   -0.223564   -0.295783  0.00159585
         201   -0.220735   -0.295409    0.001631
         202   -0.218107   -0.295027  0.00166722
         203    -0.21572   -0.294636  0.00170416
         204   -0.213623   -0.294239  0.00174147
         205   -0.211855   -0.293837  0.00177874
         206   -0.210457   -0.293432  0.00181557
         207   -0.209468   -0.293027  0.00185156
         208     -0.2089   -0.292622  0.00188631
         209   -0.208784   -0.292221  0.00191947
         210   -0.209119   -0.291825  0.00195069
         211   -0.209909   -0.291437   0.0019797
         212   -0.211144   -0.291058  0.00200627
         213   -0.212804   -0.290691  0.00203021
         214    -0.21486   -0.290337  0.00205141
         215   -0.217285   -0.289997  0.00206982
         216   -0.220032   -0.289673  0.00208543
         217   -0.223058   -0.289366  0.00209829
         218    -0.22632   -0.289077   0.0021085
         219   -0.229764   -0.288806  0.00211619
         220   -0.233345   -0.288554  0.00212154
         221   -0.237019   -0.288321  0.00212471
         222   -0.240734   -0.288106  0.00212593
         223   -0.244459   -0.287911  0.00212539
         224   -0.248149   -0.287733   0.0021233
         225    -0.25178   -0.287573  0.00211986
         226   -0.255324   -0.287431  0.00211528
         227   -0.258752   -0.287304  0.00210973
         228   -0.262055   -0.287194  0.00210338
         229   -0.265209   -0.287098  0.00209639
         230   -0.268212   -0.287015  0.00208888
         231   -0.271054   -0.286946  0.00208098
         232   -0.273729   -0.286889  0.00207279
         233   -0.276234   -0.286844   0.0020644
         234   -0.278572   -0.286808  0.00205588
         235   -0.280742   -0.286782  0.00204729
         236   -0.282756   -0.286765  0.00203869
         237   -0.284612   -0.286756  0.00203011
         238   -0.286328   -0.286755  0.00202158
         239   -0.287889   -0.286759  0.00201313
         240   -0.289317    -0.28677  0.00200477
