#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         146     2.35008     2.78035  0.00954422
         147     2.33098      2.7773  0.00995683
         148     2.31331     2.77416   0.0103714
         149     2.29726     2.77096   0.0107844
         150     2.28301     2.76771   0.0111923
         151     2.27072     2.76442   0.0115921
         152     2.26055      2.7611   0.0119804
         153     2.25261     2.75778   0.0123545
         154     2.24701     2.75446   0.0127116
         155     2.24382     2.75117   0.0130496
         156     2.24307     2.74791   0.0133662
         157     2.24478      2.7447   0.0136598
         158     2.24894     2.74157   0.0139291
         159     2.25548     2.73851    0.014173
         160     2.26433     2.73555    0.014391
         161     2.27538     2.73269   0.0145826
         162     2.28849     2.72995   0.0147482
         163     2.30352     2.72733   0.0148879
         164     2.32029     2.72485   0.0150026
         165     2.33862     2.72251   0.0150931
         166     2.35829     2.72031   0.0151609
         167     2.37912     2.71827   0.0152071
         168     2.40089     2.71638   0.0152335
         169     2.42338     2.71465   0.0152417
         170      2.4464     2.71307   0.0152335
         171     2.46975     2.71165   0.0152107
         172     2.49323     2.71038   0.0151752
         173     2.51667     2.70926   0.0151287
         174     2.53989     2.70828   0.0150731
         175     2.56274     2.70745   0.0150099
         176     2.58508     2.70676   0.0149407
         177     2.60679     2.70619   0.0148669
         178     2.62776     2.70575   0.0147899
         179     2.64788     2.70543   0.0147108
         180     2.66707     2.70521   0.0146307
         181     2.68527      2.7051   0.0145502
         182     2.70243     2.70509   0.0144703
         183     2.71849     2.70516   0.0143914
         184     2.73343     2.70532    0.014314
         185     2.74724     2.70554   0.0142384
         186     2.75989     2.70584   0.0141649
         187     2.77139     2.70619   0.0140935
         188     2.78174     2.70659   0.0140242
         189     2.79096     2.70703   0.0139571
         190     2.79908     2.70752   0.0138921
         191     2.80611     2.70803   0.0138289
         192     2.81208     2.70858   0.0137675
         193     2.81704     2.70914   0.0137077
         194     2.82101     2.70972   0.0136491
         195     2.82403      2.7103   0.0135917
         196     2.82615     2.71089   0.0135352
         197      2.8274     2.71148   0.0134794
         198     2.82783     2.71207   0.0134241
         199     2.82747     2.71265   0.0133692
         200     2.82638     2.71322   0.0133144
         201     2.82459     2.71377   0.0132597
         202     2.82215     2.71431   0.0132049
         203     2.81913     2.71483     0.01315
         204     2.81557     2.71532   0.0130948
         205     2.81154     2.71579   0.0130393
         206     2.80712     2.71623   0.0129836
