0               1         2276.62         2734.48
0               2         2264.78         2578.32
4               1         2421.83         2792.45
2               1         2487.23         2786.77
3               1         2413.51         2762.75
1               1         2072.28         2736.99
5               1          2301.9         2746.75
0               3         2158.96         2431.27
4               2         2201.52         2654.81
2               2         2348.08         2647.01
4               3         2149.16         2520.74
1               2         2056.19         2581.22
3               2         2259.07         2595.98
0               4         2126.81         2321.28
5               2         2233.07          2594.7
2               3         2026.83         2542.58
1               3         1930.92         2401.97
3               3         2090.18         2454.88
0               5         2018.93         2236.99
4               4         2057.13         2419.39
5               3         2165.18         2474.42
2               4         2017.53         2404.82
1               4         1831.53         2205.96
3               4         2065.29         2315.41
0               6         1912.96         2136.96
4               5         2017.04         2304.33
5               4         2142.49         2401.49
2               5         1786.38         2276.61
3               5         1888.47         2217.39
1               5         1758.77         2062.44
0               7         1702.42         2043.18
4               6         1994.09         2211.96
5               5         2007.77         2345.75
1               6         1679.82            1923
2               6         1772.62          2128.7
3               6         1870.25         2159.55
0               8         1639.96         1937.82
4               7         1971.85          2142.3
5               6         1974.88         2324.65
2               7         1677.89          2023.6
3               7         1798.17         2075.58
1               7          1674.4         1852.11
0               9         1544.67         1834.35
4               8         1853.62         2088.82
5               7         1930.15         2213.57
2               8         1631.85         1913.09
1               8         1658.58         1788.71
3               8         1752.77         1958.15
0              10         1508.72         1735.01
5               8         1901.07         2108.05
4               9         1808.34         2013.91
2               9         1582.53         1805.91
1               9         1549.75         1762.48
3               9         1683.18         1872.39
0              11         1465.78         1643.23
4              10         1740.37         1960.59
2              10         1536.28         1754.92
5               9         1812.22         2025.75
3              10         1682.72         1805.75
0              12         1414.99         1587.14
1              10         1502.97         1728.98
4              11         1701.87         1898.05
5              10         1772.86         1971.84
1              11         1500.51         1668.58
2              11         1479.42         1661.46
3              11         1578.43         1752.37
4              12         1673.81         1852.84
0              13         1408.37         1565.04
5              11         1688.38         1910.81
2              12         1433.39         1601.26
1              12         1439.35         1619.45
3              12         1468.79         1700.73
