0               0
1              65
2              97
3              96
4              61
5              18
6              21
7              86
8              63
9              87
10              62
11              48
12              40
13              89
14               4
15              34
16              76
17              73
18              14
19              57
20              80
21              66
22              50
23              72
24              53
25              43
26              71
27              28
28              49
29              58
30              56
31              67
32               1
33              38
34              88
35              41
36              30
37               6
38              95
39               3
40              13
41             105
42              60
43             104
44             102
45              26
46              47
47              12
48              91
49              16
50              52
51             106
52             108
53              98
54              15
55              10
56              99
57              74
58             101
59              39
60             100
61             103
62              64
63              84
64              33
65              78
66              36
67              82
68              69
69               2
70              51
71              32
72               5
73              93
74              70
75              25
76              44
77              81
78              94
79              68
80             109
81              83
82              45
83              37
84              42
85              22
86              59
87              11
88              20
89              35
90               7
91              85
92              75
93               9
94               8
95              17
96              46
97              92
98              54
99              27
100              29
101              24
102             107
103              55
104              79
105              23
106              90
107              77
108              31
109              19
