0               0
1              65
2              97
3              96
4              61
5              18
6              21
7              86
8              63
9              87
10              62
11              48
12              72
13              73
14              50
15              53
16              43
17              38
18               1
19              67
20              71
21              49
22              58
23              56
24              60
25             105
26               6
27              88
28              41
29              30
30              95
31               3
32              13
33             104
34             102
35              26
36              47
37              12
38              28
39              66
40              80
41              52
42              16
43              91
44              98
45              15
46              10
47              99
48              74
49              39
50             100
51             101
52             103
53              84
54              64
55             108
56             106
57              57
58              14
59              33
60              78
61              36
62               4
63              76
64              34
65              89
66              40
67             109
68              83
69              45
70              37
71              22
72              42
73              44
74              81
75              94
76              68
77              69
78              82
79               2
80              51
81              32
82               5
83              93
84              70
85              25
86              20
87              11
88              59
89              85
90               7
91              35
92               9
93               8
94              17
95              46
96              92
97              54
98              75
99              27
100              29
101              24
102             107
103              55
104              79
105              23
106              90
107              77
108              31
109              19
